,year,title,copyright,AU,SO
12252,2013,Sensitivity analysis and regional imperviousness in an urban basin,,"Alejandro-Sanchez, L|Martinez-Gonzalez, Y",TECNOLOGIA Y CIENCIAS DEL AGUA
12262,2013,Parameter Selection Methods in Inverse Problem Formulation,,"Banks, HT|Cintron-Arias, A|Kappel, F",MATHEMATICAL MODELING AND VALIDATION IN PHYSIOLOGY: APPLICATIONS TO THE CARDIOVASCULAR AND RESPIRATORY SYSTEMS
12278,2017,Life-cycle assessment of irrigated and rainfed sunflower addressing uncertainty and land use change scenarios, Elsevier Ltd. All rights reserved.,"Figueiredo, F|Castanheira, EG|Freire, F",JOURNAL OF CLEANER PRODUCTION
12281,2009,"Life cycle assessment of solid waste management options for Eskisehir, Turkey", Elsevier Ltd. All rights reserved.,"Banar, M|Cokaygil, Z|Ozkan, A",WASTE MANAGEMENT
12283,2008,Effects of some water quality parameters on the dissolved oxygen balance of streams,,"Nas, SS|Bayram, A|Nas, E|Bulut, VN",POLISH JOURNAL OF ENVIRONMENTAL STUDIES
12285,2017,Public transportation adoption requires a paradigm shift in urban development structure, Elsevier Ltd. All rights reserved.,"Ercan, T|Onat, NC|Tatari, O|Mathias, JD",JOURNAL OF CLEANER PRODUCTION
12286,2010,A multi-objective approach for robust airline scheduling, (C) 2009 Published by Elsevier Ltd.,"Burke, EK|De Causmaecker, P|De Maere, G|Mulder, J|Paelinck, M|Vanden Berghe, G",COMPUTERS & OPERATIONS RESEARCH
12288,2007,Heuristic stability: A permutation disarray measure, Elsevier Ltd. All rights reserved.,"Gan, HS|Wirth, A",COMPUTERS & OPERATIONS RESEARCH
12290,2016,Stiffness design of heterogeneous periodic beam by topology optimization with integration of commercial software, Elsevier Ltd. All rights reserved.,"Yi, SN|Cheng, GD|Xu, L",COMPUTERS & STRUCTURES
12309,2016,"Land Sensitivity Analysis of Degradation using MEDALUS model: Case Study of Deliblato Sands, Serbia",,"Kadovic, R|Bohajar, YAM|Perovic, V|Simic, SB|Todosijevic, M|Tosic, S|Andelic, M|Mladan, D|Dovezenski, U",ARCHIVES OF ENVIRONMENTAL PROTECTION
12313,2007,Using a hybrid multi-criteria decision aid method for information systems outsourcing, Elsevier Ltd. All rights reserved.,"Wang, JJ|Yang, DL",COMPUTERS & OPERATIONS RESEARCH
12328,2016,Economic analysis of waste-to-energy industry in China, Elsevier Ltd. All rights reserved.,"Zhao, XG|Jiang, GW|Li, A|Wang, L",WASTE MANAGEMENT
12334,2009,LCA to choose among alternative design solutions: The case study of a new Italian incineration line, Elsevier Ltd. All rights reserved.,"Scipioni, A|Mazzi, A|Niero, M|Boatto, T",WASTE MANAGEMENT
12336,2014,ANALYSIS OF SPATIOTEMPORAL CHANGE OF REFERENCE EVAPOTRANSPIRATION AND ITS CONTRIBUTING CLIMATIC FACTORS IN NORTHEAST CHINA,,"Guo, JW|Zou, YC|Huo, LL|Wang, GP|Lu, XG",FRESENIUS ENVIRONMENTAL BULLETIN
12346,2017,A SAS macro for the joint modeling of longitudinal outcomes and multiple competing risk dropouts, (C) 2016 Elsevier Ireland Ltd. All rights reserved.,"Wang, W|Wang, WM|Mosley, TH|Griswold, ME",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE
12348,2014,Secondary organic aerosol in residences: predicting its fraction of fine particle mass and determinants of formation strength,,"Waring, MS",INDOOR AIR
12359,2010,Fuzzy multicriteria disposal method and site selection for municipal solid waste, Elsevier Ltd. All rights reserved.,"Ekmekcioglu, M|Kaya, T|Kahraman, C",WASTE MANAGEMENT
12367,2016,Specific volume determination based on the apparent thickness of Light Non-Aqueous Phase Liquids free phase in monitoring wells: Sensitivity analysis of the parameters,,"de Souza, MM|de Lima, JT|Barbosa, MC|da Silva, GC",ENGENHARIA SANITARIA E AMBIENTAL
12369,2017,The joint mortality of couples in continuous time, (C) 2017 Elsevier B.V. All rights reserved.,"Jevtic, P|Hurd, TR",INSURANCE MATHEMATICS & ECONOMICS
12390,2015,Analysis of alternative pathways for reducing nitrogen oxide emissions,,"Loughlin, DH|Kaufman, KR|Lenox, CS|Hubbell, BJ",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
12395,2000,Probabilistic strength analysis of rectangular FRP plates using Monte Carlo simulation, (C) 2000 Elsevier Science Ltd. All rights reserved.,"Jeong, HK|Shenoi, RA",COMPUTERS & STRUCTURES
12399,2014,Influence of Parameter Values and Variances and Algorithm Architecture in ConsExpo Model on Modeled Exposures,,"Arnold, SF|Ramachandran, G",JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE
12406,2017,Evaluating the Use of Global Sensitivity Analysis in Dynamic MFA,,"Dzubur, N|Buchner, H|Laner, D",JOURNAL OF INDUSTRIAL ECOLOGY
12409,2010,Construction of component tapes for radial placement machines, Elsevier Ltd. All rights reserved.,"Raduly-Baka, C|Knuutila, T|Johnsson, M|Nevalainen, OS",COMPUTERS & OPERATIONS RESEARCH
12416,2012,GSGS: A Computational Approach to Reconstruct Signaling Pathway Structures from Gene Sets,,"Acharya, LR|Judeh, T|Duan, ZS|Rabbat, MG|Zhu, DX",IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS
12420,2004,Three Mahalanobis distances and their role in assessing unidimensionality,,"Yuan, KH|Fung, WK|Reise, SR",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY
12432,2017,A case study on the life cycle assessment of recycling industrial mercury-containing waste, Elsevier Ltd. All rights reserved.,"Qi, CC|Ma, XT|Wang, M|Ye, LP|Yang, Y|Hong, JL",JOURNAL OF CLEANER PRODUCTION
12437,2017,Reliable flow in stochastic supply networks servicing pre- and after-sales markets,,"Rezapour, S|Allen, JK|Mistree, F",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING
12440,2010,Environmental assessment of alternative municipal solid waste management strategies. A Spanish case study, Elsevier Ltd. All rights reserved.,"Bovea, MD|Ibanez-Fores, V|Gallardo, A|Colomer-Mendoza, FJ",WASTE MANAGEMENT
12441,2000,Assessment of human health risk of dioxins in Japan, (C) 1999 Elsevier Science Ltd. All rights reserved.,"Yoshida, K|Ikeda, S|Nakanishi, J",CHEMOSPHERE
12449,2008,"Comments on ""Generalized support set invariancy sensitivity analysis in linear optimization""",,"Kheirfam, B|Mirnia, K",JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION
12454,2017,Decoupling the lock-in effect between economic growth and CO2 emissions by structure adjustment: A final demand perspective, Elsevier Ltd. All rights reserved.,"Chang, N|Li, ZY",JOURNAL OF CLEANER PRODUCTION
12455,2013,A CORRELATION SENSITIVITY ANALYSIS OF NON-LIFE UNDERWRITING RISK IN SOLVENCY CAPITAL REQUIREMENT ESTIMATION,,"Bermudez, L|Ferri, A|Guillen, M",ASTIN BULLETIN
12459,2014,Exploitation scenarios in industrial system LCA,,"Cluzel, F|Yannou, B|Millet, D|Leroy, Y",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
12462,2004,Investigation of biological and fouling characteristics of submerged membrane bioreactor process for wastewater treatment by model sensitivity analysis,,"Cho, JW|Ahn, KH|Lee, YH|Lim, BR|Kim, JY",WATER SCIENCE AND TECHNOLOGY
12463,2017,LCA applied to nano scale zero valent iron synthesis,,"Martins, F|Machado, S|Albergaria, T|Delerue-Matos, C",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
12471,2014,Hybrid Ant Bee Algorithm for Fuzzy Expert System Based Sample Classification,,"GaneshKumar, P|Rani, C|Devaraj, D|Victoire, TAA",IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS
12483,2005,Stormwater quality modelling in combined sewers: calibration and uncertainty analysis,,"Kanso, A|Chebbo, G|Tassin, B",WATER SCIENCE AND TECHNOLOGY
12489,2016,Modelling phosphorus dynamics in Cootes Paradise marsh: Uncertainty assessment and implications for eutrophication management,,"Kim, DK|Peller, T|Gozum, Z|Theysmeyer, T|Long, T|Boyd, D|Watson, S|Rao, YR|Arhonditsis, GB",AQUATIC ECOSYSTEM HEALTH & MANAGEMENT
12490,2002,"Meta-analysis of time-series studies of air pollution and mortality: Effects of gases and particles and the influence of cause of death, age, and season",,"Stieb, DM|Judek, S|Burnett, RT",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
12492,2011,Damage detection method for shear buildings using the changes in the first mode shape slopes, Elsevier Ltd. All rights reserved.,"Zhu, H|Li, L|He, XQ",COMPUTERS & STRUCTURES
12497,2009,An Approach to Uncertainty Analysis of Rockfall Simulation,,"Turrin, S|Hanss, M|Selvadurai, APS",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
12501,2017,Uncertainty Quantification for the Horseshoe (with Discussion) comment,,"Martin, R",BAYESIAN ANALYSIS
12503,2017,Identifying key technology and policy strategies for sustainable cities: A case study of London,,"Walker, RV|Beck, MB|Hall, JW|Dawson, RJ|Heidrich, O",ENVIRONMENTAL DEVELOPMENT
12506,2001,Identifiability and uncertainty analysis of the River Water Quality Model No. 1 (RWQM1),,"Reichert, P|Vanrolleghem, P",WATER SCIENCE AND TECHNOLOGY
12508,2015,Variance-based Sensitivity Analyses of Piezoelectric Models,,"Lahmer, T|Ilg, J|Lerch, R",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
12509,2001,Influence of primary sedimentation on pre-denitrification system performances,,"Esposito, G|Bastianutti, C|Bortone, G|Pirozzi, F|Sgroi, S",WATER SCIENCE AND TECHNOLOGY
12516,2014,Probabilistic 21st and 22nd century sea-level projections at a global network of tide-gauge sites,,"Kopp, RE|Horton, RM|Little, CM|Mitrovica, JX|Oppenheimer, M|Rasmussen, DJ|Strauss, BH|Tebaldi, C",EARTHS FUTURE
12518,2017,Operation patterns analysis of automotive components remanufacturing industry development in China, Elsevier Ltd. All rights reserved.,"Tian, GD|Zhang, HH|Feng, YX|Jia, HF|Zhang, CY|Jiang, ZG|Li, ZW|Li, PG",JOURNAL OF CLEANER PRODUCTION
12520,2012,Bootstrapping profit change: An application to Spanish banks, Elsevier Ltd. All rights reserved.,"Tortosa-Ausina, E|Armero, C|Conesa, D|Grifell-Tatje, E",COMPUTERS & OPERATIONS RESEARCH
12522,2017,Diffuse methane emissions abatement by organic and inorganic packed biofilters: Assessment of operational and environmental indicators, Elsevier Ltd. All rights reserved.,"Gomez-Cuervo, S|Alfonsin, C|Hernandez, J|Feijoo, G|Moreira, MT|Omil, F",JOURNAL OF CLEANER PRODUCTION
12535,2016,When considering no man is an island-assessing bioenergy systems in a regional and LCA context: a review,,"O'Keeffe, S|Majer, S|Bezama, A|Thran, D",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
12537,2012,A hybrid genetic algorithm for the single machine scheduling problem with sequence-dependent setup times, Elsevier Ltd. All rights reserved.,"Sioud, A|Gravel, M|Gagne, C",COMPUTERS & OPERATIONS RESEARCH
12542,2000,Optimum design of cantilevered columns under the combined action of conservative and nonconservative loads Part II: The damped case, (C) 2000 Elsevier Science Ltd. All rights reserved.,"Langthjem, MA|Sugiyama, Y",COMPUTERS & STRUCTURES
12551,2010,Uncertainties in the carbon footprint of food products: a case study on table potatoes,,"Roos, E|Sundberg, C|Hansson, PA",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
12556,2005,The performance of vertical flow constructed wetland systems with special reference to the significance of oxygen transfer and hydraulic loading rates,,"Cooper, P",WATER SCIENCE AND TECHNOLOGY
12558,2014,SENSITIVITY ANALYSIS OF PENMAN EVAPORATION METHOD,,"Mamassis, N|Panagoulia, D|Novkovic, A",GLOBAL NEST JOURNAL
12562,2010,Multiobjective topology optimization for finite periodic structures, Elsevier Ltd. All rights reserved.,"Chen, YH|Zhou, SW|Li, Q",COMPUTERS & STRUCTURES
12573,2017,A Pseudospectral Collocation Approach for Flood Inundation Modelling with Random Input Fields,,"Huang, Y|Qin, XS",JOURNAL OF ENVIRONMENTAL INFORMATICS
12574,2010,Calculation of Potential Second Derivatives by Means of a Regularized Indirect Algorithm in the Boundary Element Method,,"Chen, HB|Tanaka, M",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
12582,2013,From web search to healthcare utilization: privacy-sensitive studies from mobile data,,"White, R|Horvitz, E",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION
12591,2013,UNCERTAINTY ANALYSIS OF A HYDRODYNAMIC SEDIMENT TRANSPORT MODEL: A CASE STUDY FROM THE GOKSU RIVER,,"Guven, B",CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES
12596,2015,Application of Anaerobic Digestion Model No. 1 for simulating anaerobic mesophilic sludge digestion, Elsevier Ltd. All rights reserved.,"Mendes, C|Esquerre, K|Queiroz, LM",WASTE MANAGEMENT
12600,2015,"Sensitivity analysis of flood damage estimates: A case study in Fredericton, New Brunswick", Elsevier Ltd. All rights reserved.,"McGrath, H|Stefanakis, E|Nastev, M",INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION
12632,2015,Life Cycle Assessment of organic waste management strategies: an Italian case study, Elsevier Ltd. All rights reserved.,"Buratti, C|Barbanera, M|Testarmata, F|Fantozzi, F",JOURNAL OF CLEANER PRODUCTION
12637,2014,Multiscale modeling and uncertainty quantification in nanoparticle-mediated drug/gene delivery,,"Li, Y|Stroberg, W|Lee, TR|Kim, HS|Man, H|Ho, D|Decuzzi, P|Liu, WK",COMPUTATIONAL MECHANICS
12648,2010,Parameter Identification Method of Large Macro-Micro Coupled Constitutive Models Based on Identifiability Analysis,,"Qu, J|Xu, BY|Jin, QL",CMC-COMPUTERS MATERIALS & CONTINUA
12654,2016,Eco-efficiency analysis of the life cycle of interior partition walls: a comparison of alternative solutions, Elsevier Ltd. All rights reserved.,"Ferrandez-Garcia, A|Ibanez-Fores, V|Bovea, MD",JOURNAL OF CLEANER PRODUCTION
12660,2013,Extended stochastic FEM for diffusion problems with uncertain material interfaces,,"Lang, C|Doostan, A|Maute, K",COMPUTATIONAL MECHANICS
12663,2009,Incomplete search effort: a potential source of bias in estimates of Adelie penguin breeding populations in the Australian Antarctic Territory,,"Southwell, C|Smith, D|Bender, A",POLAR RECORD
12671,2017,"Life cycle assessment of potential municipal solid waste management strategies for Mumbai, India",,"Sharma, BK|Chandel, MK",WASTE MANAGEMENT & RESEARCH
12678,2007,Pesticide bioconcentration modelling for fruit trees, Elsevier Ltd. All rights reserved.,"Paraiba, LC",CHEMOSPHERE
12683,2005,Uncertainty analysis in life cycle assessment (LCA): Case study on plant-protection products and implications for decision making,,"Geisler, G|Hellweg, S|Hungerbuhler, K",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
12687,2006,A preliminary coastal wetland assessment procedure: Designing and testing an environmental sustainability index for Mediterranean lagoons,,"Carletti, A|De Leo, GA|Ferrari, I",CHEMISTRY AND ECOLOGY
12697,2015,Non-iterative design method for flexible channels with bends,,"Easa, SM|Wu, GX|Abd El Halim, AEHO|Yu, M",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT
12706,2012,Fast Carbon Footprinting for Large Product Portfolios,,"Meinrenken, CJ|Kaufman, SM|Ramesh, S|Lackner, KS",JOURNAL OF INDUSTRIAL ECOLOGY
12709,2015,A simple way to improved formulation of FE2 analysis,,"Solinc, U|Korelc, J",COMPUTATIONAL MECHANICS
12725,2011,Nonlinear Hydrologic Modeling Using the Stochastic and Neural Networks Approach,,"Kim, S",DISASTER ADVANCES
12732,2013,Competitive comparison of optimal designs of experiments for sampling-based sensitivity analysis, Elsevier Ltd. All rights reserved.,"Janouchova, E|Kucerova, A",COMPUTERS & STRUCTURES
12738,2006,Multicriteria automatic essay assessor generation by using TOPSIS model and genetic algorithm,,"Cheng, SL|Chang, HC","INTELLIGENT TUTORING SYSTEMS, PROCEEDINGS"
12742,2017,Environmental impacts of barley cultivation under current and future climatic conditions, Elsevier Ltd. All rights reserved.,"Dijkman, TJ|Birkved, M|Saxe, H|Wenzel, H|Hauschild, MZ",JOURNAL OF CLEANER PRODUCTION
12743,2000,Structural monitoring system based on sensitivity analysis and a neural network,,"Kim, SH|Yoon, C|Kim, BJ",COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING
12745,2015,Uncertainty and Sensitivity Analysis of the HAZUS-MH Flood Model, (C) 2014 American Society of Civil Engineers.,"Tate, E|Munoz, C|Suchan, J",NATURAL HAZARDS REVIEW
12746,2000,Use of sensitivity analysis to evaluate key factors for improving slash-and-burn cultivation systems on the Eastern Escarpment of Madagascar,,"Messerli, P",MOUNTAIN RESEARCH AND DEVELOPMENT
12754,2016,Uncertainty propagation analysis in laminated structures with viscoelastic core, Elsevier Ltd. All rights reserved.,"Hernandez, WP|Castello, DA|Ritto, TG",COMPUTERS & STRUCTURES
12772,2008,Determination of the mechanical properties of a solid elastic medium from a seismic wave propagation using two statistical estimators,,"Zein, S|Canot, E|Erhel, J|Nassif, N",MATHEMATICS AND MECHANICS OF SOLIDS
12783,2017,Truss optimization with buckling considerations using geometrically nonlinear beam modeling, Elsevier Ltd. All rights reserved.,"Madah, H|Amir, O",COMPUTERS & STRUCTURES
12789,2015,Multiset Statistics for Gene Set Analysis,,"Newton, MA|Wang, ZS","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION, VOL 2"
12804,2015,A methodology to estimate uncertainty for emission projections through sensitivity analysis,,"Lumbreras, J|de Andres, JM|Perez, J|Borge, R|de la Paz, D|Rodriguez, ME",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
12807,2007,Influence of functional unit on the life cycle assessment of traction batteries,,"Matheys, J|Van Autenboer, W|Timmermans, JM|Van Mierlo, J|Van den Bossche, P|Maggetto, G",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
12808,2005,Sensitivity analysis of an attack containment model,,"Dantu, R|Cangussu, JW|Turi, J","INTELLIGENCE AND SECURITY INFORMATICS, PROCEEDINGS"
